table_id	table_name	reg_id	reg_name	ind_id	ind_name	reg_date	val
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	5	Владимирская область	8	Среднемесячные курсы покупки Немецкой марки	2001-04-01T00:00:00	12.8200
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	5	Владимирская область	8	Среднемесячные курсы покупки Немецкой марки	2001-05-01T00:00:00	12.8600
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	5	Владимирская область	8	Среднемесячные курсы покупки Немецкой марки	2001-06-01T00:00:00	12.5800
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	5	Владимирская область	8	Среднемесячные курсы покупки Немецкой марки	2001-07-01T00:00:00	12.3400
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	5	Владимирская область	8	Среднемесячные курсы покупки Немецкой марки	2001-08-01T00:00:00	12.1400
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	5	Владимирская область	8	Среднемесячные курсы покупки Немецкой марки	2001-09-01T00:00:00	12.4400
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	5	Владимирская область	8	Среднемесячные курсы покупки Немецкой марки	2001-10-01T00:00:00	12.6300
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	5	Владимирская область	8	Среднемесячные курсы покупки Немецкой марки	2001-11-01T00:00:00	12.9900
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	5	Владимирская область	8	Среднемесячные курсы покупки Немецкой марки	2001-12-01T00:00:00	12.6000
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	5	Владимирская область	8	Среднемесячные курсы покупки Немецкой марки	2002-01-01T00:00:00	12.3600
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	6	Волгоградская область	8	Среднемесячные курсы покупки Немецкой марки	2001-01-01T00:00:00	12.1300
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	6	Волгоградская область	8	Среднемесячные курсы покупки Немецкой марки	2001-02-01T00:00:00	13.0500
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	6	Волгоградская область	8	Среднемесячные курсы покупки Немецкой марки	2001-03-01T00:00:00	13.0200
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	6	Волгоградская область	8	Среднемесячные курсы покупки Немецкой марки	2001-04-01T00:00:00	12.8300
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	6	Волгоградская область	8	Среднемесячные курсы покупки Немецкой марки	2001-05-01T00:00:00	12.6900
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	6	Волгоградская область	8	Среднемесячные курсы покупки Немецкой марки	2001-06-01T00:00:00	12.6200
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	6	Волгоградская область	8	Среднемесячные курсы покупки Немецкой марки	2001-07-01T00:00:00	12.3400
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	6	Волгоградская область	8	Среднемесячные курсы покупки Немецкой марки	2001-08-01T00:00:00	12.1200
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	6	Волгоградская область	8	Среднемесячные курсы покупки Немецкой марки	2001-09-01T00:00:00	12.1100
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	6	Волгоградская область	8	Среднемесячные курсы покупки Немецкой марки	2001-10-01T00:00:00	12.2500
